Gene	Origen
ATM	DDRProt
ATR	DDRProt
ATRIP	DDRProt
BABAM1	DDRProt
BARD1	DDRProt
BLM	DDRProt
BRCA1	DDRProt
BRCA2	DDRProt
BRCC3	DDRProt
BRE	DDRProt
BTRC	DDRProt
CDC25A	DDRProt
CDC25C	DDRProt
CDT1	DDRProt
CHEK1	DDRProt
CHEK2	DDRProt
CLSPN	DDRProt
CUL1	DDRProt
CUL4A	DDRProt
DCLRE1B	DDRProt
DCLRE1C	DDRProt
DDB1	DDRProt
DNA2	DDRProt
DTL	DDRProt
EME1	DDRProt
ERCC1	DDRProt
ERCC2	DDRProt
ERCC3	DDRProt
ERCC4	DDRProt
ERCC5	DDRProt
ERCC6	DDRProt
ERCC8	DDRProt
EXO1	DDRProt
FAM175A	DDRProt
FANCD2	DDRProt
FANCM	DDRProt
FBXO31	DDRProt
H2AFX	DDRProt
HERC2	DDRProt
HNRNPK	DDRProt
HUS1	DDRProt
KAT5	DDRProt
KAT8	DDRProt
LIG4	DDRProt
MAPK3	DDRProt
MAPKAPK2	DDRProt
MDC1	DDRProt
MDM2	DDRProt
MDM4	DDRProt
MLH1	DDRProt
MRE11A	DDRProt
MSH2	DDRProt
MSH3	DDRProt
MSH6	DDRProt
MTA2	DDRProt
MUS81	DDRProt
NBN	DDRProt
NHEJ1	DDRProt
NR4A2	DDRProt
NSMCE2	DDRProt
PALB2	DDRProt
PARP1	DDRProt
PARP2	DDRProt
PAXIP1	DDRProt
PCNA	DDRProt
PIAS1	DDRProt
PIAS4	DDRProt
PLK1	DDRProt
PMS2	DDRProt
PRKDC	DDRProt
RAD1	DDRProt
RAD17	DDRProt
RAD18	DDRProt
RAD23B	DDRProt
RAD50	DDRProt
RAD51	DDRProt
RAD9A	DDRProt
RBBP8	DDRProt
RBX1	DDRProt
RMI1	DDRProt
RNF168	DDRProt
RNF8	DDRProt
RPA1	DDRProt
RPA2	DDRProt
RPA3	DDRProt
SIRT1	DDRProt
SKP1	DDRProt
SLX1A	DDRProt
SLX4	DDRProt
SMARCAL1	DDRProt
SMC1A	DDRProt
SMC5	DDRProt
SMC6	DDRProt
SOX4	DDRProt
TAOK1	DDRProt
TDP1	DDRProt
TDP2	DDRProt
TERF2	DDRProt
TIMELESS	DDRProt
TIPIN	DDRProt
TOP3A	DDRProt
TOPBP1	DDRProt
TP53BP1	DDRProt
TRIM28	DDRProt
TRIP12	DDRProt
UBE2N	DDRProt
UBE2T	DDRProt
UBR5	DDRProt
UIMC1	DDRProt
USP11	DDRProt
WEE1	DDRProt
XPA	DDRProt
XPC	DDRProt
XRCC1	DDRProt
XRCC4	DDRProt
XRCC5	DDRProt
XRCC6	DDRProt
YWHAE	DDRProt
