Gene	Origen
RFC5	Reactome
APEX1	Reactome
CDC7	Reactome
LIG1	Reactome
PSMC5	Reactome
PSMA8	Reactome
RB1	Reactome
GINS1	Reactome
DBF4	Reactome
CDT1	Reactome
CDC6	Reactome
PSMD14	Reactome
RPS27A	Reactome
UBA52	Reactome
CDC45	Reactome
CDK2	Reactome
CDKN1A	Reactome
CCNA1	Reactome
CCNA2	Reactome
DNA2	Reactome
POLD2	Reactome
POLD3	Reactome
POLD4	Reactome
POLE2	Reactome
POLA2	Reactome
POLA1	Reactome
POLD1	Reactome
POLE	Reactome
E2F1	Reactome
E2F2	Reactome
E2F3	Reactome
FEN1	Reactome
FZR1	Reactome
GMNN	Reactome
MCM2	Reactome
MCM3	Reactome
MCM4	Reactome
MCM5	Reactome
MCM6	Reactome
MCM7	Reactome
ORC1	Reactome
ORC2	Reactome
ORC3	Reactome
ORC4	Reactome
ORC5	Reactome
ORC6	Reactome
PCNA	Reactome
PRIM1	Reactome
PRIM2	Reactome
PSMC1	Reactome
PSMC4	Reactome
PSMC2	Reactome
PSMC3	Reactome
PSMC6	Reactome
PSMA1	Reactome
PSMA2	Reactome
PSMA3	Reactome
PSMA4	Reactome
PSMA5	Reactome
PSMA6	Reactome
PSMA7	Reactome
PSMB1	Reactome
PSMB2	Reactome
PSMB3	Reactome
PSMB4	Reactome
PSMB5	Reactome
PSMB6	Reactome
PSMB7	Reactome
PSMB8	Reactome
PSMB9	Reactome
PSMB10	Reactome
PSMD1	Reactome
PSMD2	Reactome
PSMD3	Reactome
PSMD4	Reactome
PSMD5	Reactome
PSMD6	Reactome
PSMD7	Reactome
PSMD8	Reactome
PSMD9	Reactome
PSMD10	Reactome
PSMD11	Reactome
PSMD12	Reactome
PSMD13	Reactome
PSME1	Reactome
PSME2	Reactome
PSME3	Reactome
PSMF1	Reactome
GINS2	Reactome
RPA1	Reactome
RPA2	Reactome
RPA3	Reactome
RPA4	Reactome
RFC1	Reactome
RFC2	Reactome
RFC3	Reactome
RFC4	Reactome
GINS4	Reactome
CDKN1B	Reactome
MCM10	Reactome
PSMB11	Reactome
PSME4	Reactome
GINS3	Reactome
MCM8	Reactome
UBC	Reactome
UBB	Reactome
